onset	duration	trial_type
10.000	1.500	+fill0
16.000	1.500	+fill1
22.000	1.500	+fill2
28.000	1.500	friend3
34.000	1.500	control1
40.000	1.500	friend1
46.000	1.500	control4
52.000	1.500	self
58.000	1.500	friend4
64.000	1.500	blank
70.000	1.500	control3
76.000	1.500	control2
82.000	1.500	friend2
88.000	1.500	oddball4
89.400	0.100	motor
94.000	1.500	oddball1
95.500	0.100	motor
100.000	1.500	blank
106.000	1.500	friend1
112.000	1.500	friend4
118.000	1.500	self
124.000	1.500	friend2
130.000	1.500	control1
136.000	1.500	control4
142.000	1.500	control2
148.000	1.500	friend3
154.000	1.500	control3
160.000	1.500	control3
166.000	1.500	blank
172.000	1.500	oddball2
173.900	0.100	motor
178.000	1.500	control4
184.000	1.500	friend4
190.000	1.500	friend1
196.000	1.500	control1
202.000	1.500	control2
208.000	1.500	self
214.000	1.500	friend3
220.000	1.500	friend2
226.000	1.500	friend2
232.000	1.500	blank
238.000	1.500	control2
244.000	1.500	control4
250.000	1.500	oddball3
252.000	0.100	motor
256.000	1.500	self
262.000	1.500	control1
268.000	1.500	control3
274.000	1.500	friend1
280.000	1.500	friend3
286.000	1.500	friend4
292.000	1.500	+fill3
